"target","variable","spearman_r","p_value","n","p_adj_BH"
"RA_average","Yield..dt.ha.",-0.734623887508132,0.0155235153299581,10,0.279358298719251
"RA_average","leaf_weight_g",-0.685044120523069,0.0288187786269402,10,0.279358298719251
"RA_average","shi_total",0.654440423934207,0.0288991343502674,11,0.279358298719251
"RA_average","leaf_area_cm2",-0.56883127864862,0.0861606068591084,10,0.436814726896496
"RA_average","C%_normal",0.530004568679111,0.0935455289536138,11,0.436814726896496
"RA_average","mean_BD_g_cm3",-0.516178362539656,0.104060747457951,11,0.436814726896496
"RA_average","Root.health.score",0.493134685640564,0.123240416989174,11,0.436814726896496
"RA_average","Chlorophyll..SPAD.",-0.488525950260746,0.127329477470221,11,0.436814726896496
"RA_average","Corg",0.460873537981836,0.15367465524476,11,0.436814726896496
"RA_average","N%_normal",0.451656067222199,0.163155245809247,11,0.436814726896496
"RA_average","Specific.Leaf.Area..g.cm2.",0.446501971412357,0.195813498263947,10,0.436814726896496
"RA_average","microbial_c",0.424003654943289,0.193724917731697,11,0.436814726896496
"RA_average","microbial_N",0.424003654943289,0.193724917731697,11,0.436814726896496
"RA_average","clay",0.30878527044783,0.355529346034077,11,0.687356735665883
"RA_average","silt",0.30878527044783,0.355529346034077,11,0.687356735665883
"RA_average","C/N_normal",0.285741593548738,0.394336192894455,11,0.702931948047862
"RA_average","Na_aus_kation_mmol_kg",0.271915387409283,0.418584862289359,11,0.702931948047862
"RA_average","phi_total_no_yield",0.25348044589001,0.451999899503611,11,0.702931948047862
"RA_average","sand",-0.248871710510191,0.460541621134806,11,0.702931948047862
"RA_average","Al_aus_kation_mmol_kg",0.230436768990918,0.495433391224062,11,0.718378417274889
"RA_average","base_saturation",-0.152088267534006,0.655297809426262,11,0.818173145780783
"RA_average","Plant.height..cm.",-0.138262061394551,0.685173963183065,11,0.818173145780783
"RA_average","phi_total",-0.133653326014732,0.695225707078138,11,0.818173145780783
"RA_average","K_aus_kation_mmol_kg",0.129044590634914,0.705321677397227,11,0.818173145780783
"RA_average","cec_NaMgCaKAl_mmol_kg",0.129044590634914,0.705321677397227,11,0.818173145780783
"RA_average","Mg_aus_kation_mmol_kg",0.106000913735822,0.756415690749301,11,0.843694424297298
"RA_average","Ca_aus_kation_mmol/kg",0.0599135599376387,0.86109128933291,11,0.924875829283497
"RA_average","Hplus_conc_mol_l",-0.0184349415192734,0.9570966079843,11,0.967816874365466
"RA_average","pH",0.0138262061394551,0.967816874365466,11,0.967816874365466
