"target","variable","spearman_r","p_value","n","p_adj_BH"
"RA_score","Yield..dt.ha.",-0.684588967489986,0.0289678704087686,10,0.414081554927179
"RA_score","shi_total",0.604814736759006,0.0486893716886169,11,0.414081554927179
"RA_score","Chlorophyll..SPAD.",-0.558290526239082,0.0742681702370746,11,0.414081554927179
"RA_score","microbial_N",0.535028420979121,0.0899050095281167,11,0.414081554927179
"RA_score","mean_BD_g_cm3",-0.535028420979121,0.0899050095281168,11,0.414081554927179
"RA_score","C%_normal",0.530375999927128,0.0932731104972001,11,0.414081554927179
"RA_score","Specific.Leaf.Area..g.cm2.",0.514052619773176,0.128508068770504,10,0.414081554927179
"RA_score","microbial_c",0.511766315719159,0.107571426039821,11,0.414081554927179
"RA_score","N%_normal",0.497809052563182,0.11918000718831,11,0.414081554927179
"RA_score","leaf_weight_g",-0.458311974255603,0.182816671598786,10,0.481971225124072
"RA_score","Corg",0.451284842043258,0.163544459641922,11,0.474278932961573
"RA_score","clay",0.39545578941935,0.228659091178821,11,0.552592803682151
"RA_score","C/N_normal",0.334974315743449,0.3139530225962,11,0.7003567427146
"RA_score","Na_aus_kation_mmol_kg",0.31636463153548,0.343216056936931,11,0.710947546512214
"RA_score","leaf_area_cm2",-0.291090037702883,0.414507618500332,10,0.801381395767308
"RA_score","Root.health.score",0.255883157859579,0.447576187102184,11,0.811231839122709
"RA_score","cec_NaMgCaKAl_mmol_kg",0.223316210495633,0.509211994902578,11,0.826919522405938
"RA_score","Plant.height..cm.",-0.186096842079694,0.583784434532632,11,0.826919522405938
"RA_score","Ca_aus_kation_mmol/kg",0.167487157871725,0.622550844824485,11,0.826919522405938
"RA_score","silt",0.162834736819732,0.632383232754355,11,0.826919522405938
"RA_score","pH",0.148877473663755,0.662197288983884,11,0.826919522405938
"RA_score","Hplus_conc_mol_l",-0.134920210507778,0.692458140321262,11,0.826919522405938
"RA_score","sand",-0.130267789455786,0.702637885203799,11,0.826919522405938
"RA_score","K_aus_kation_mmol_kg",0.125615368403794,0.712861657246498,11,0.826919522405938
"RA_score","phi_total",-0.125615368403794,0.712861657246498,11,0.826919522405938
"RA_score","phi_total_no_yield",0.0697863157798853,0.838442639487183,11,0.935186020966474
"RA_score","base_saturation",-0.0372193684159388,0.913485416831837,11,0.981151003263825
"RA_score","Mg_aus_kation_mmol_kg",0.0186096842079694,0.956690258715585,11,0.989168462852477
"RA_score","Al_aus_kation_mmol_kg",0.00465242105199235,0.989168462852477,11,0.989168462852477
"RA_average","Yield..dt.ha.",-0.734623887508132,0.0155235153299581,10,0.279358298719251
"RA_average","leaf_weight_g",-0.685044120523069,0.0288187786269402,10,0.279358298719251
"RA_average","shi_total",0.654440423934207,0.0288991343502674,11,0.279358298719251
"RA_average","leaf_area_cm2",-0.56883127864862,0.0861606068591084,10,0.436814726896496
"RA_average","C%_normal",0.530004568679111,0.0935455289536138,11,0.436814726896496
"RA_average","mean_BD_g_cm3",-0.516178362539656,0.104060747457951,11,0.436814726896496
"RA_average","Root.health.score",0.493134685640564,0.123240416989174,11,0.436814726896496
"RA_average","Chlorophyll..SPAD.",-0.488525950260746,0.127329477470221,11,0.436814726896496
"RA_average","Corg",0.460873537981836,0.15367465524476,11,0.436814726896496
"RA_average","N%_normal",0.451656067222199,0.163155245809247,11,0.436814726896496
"RA_average","Specific.Leaf.Area..g.cm2.",0.446501971412357,0.195813498263947,10,0.436814726896496
"RA_average","microbial_c",0.424003654943289,0.193724917731697,11,0.436814726896496
"RA_average","microbial_N",0.424003654943289,0.193724917731697,11,0.436814726896496
"RA_average","clay",0.30878527044783,0.355529346034077,11,0.687356735665883
"RA_average","silt",0.30878527044783,0.355529346034077,11,0.687356735665883
"RA_average","C/N_normal",0.285741593548738,0.394336192894455,11,0.702931948047862
"RA_average","Na_aus_kation_mmol_kg",0.271915387409283,0.418584862289359,11,0.702931948047862
"RA_average","phi_total_no_yield",0.25348044589001,0.451999899503611,11,0.702931948047862
"RA_average","sand",-0.248871710510191,0.460541621134806,11,0.702931948047862
"RA_average","Al_aus_kation_mmol_kg",0.230436768990918,0.495433391224062,11,0.718378417274889
"RA_average","base_saturation",-0.152088267534006,0.655297809426262,11,0.818173145780783
"RA_average","Plant.height..cm.",-0.138262061394551,0.685173963183065,11,0.818173145780783
"RA_average","phi_total",-0.133653326014732,0.695225707078138,11,0.818173145780783
"RA_average","K_aus_kation_mmol_kg",0.129044590634914,0.705321677397227,11,0.818173145780783
"RA_average","cec_NaMgCaKAl_mmol_kg",0.129044590634914,0.705321677397227,11,0.818173145780783
"RA_average","Mg_aus_kation_mmol_kg",0.106000913735822,0.756415690749301,11,0.843694424297298
"RA_average","Ca_aus_kation_mmol/kg",0.0599135599376387,0.86109128933291,11,0.924875829283497
"RA_average","Hplus_conc_mol_l",-0.0184349415192734,0.9570966079843,11,0.967816874365466
"RA_average","pH",0.0138262061394551,0.967816874365466,11,0.967816874365466
