"Record number","Sample Name","SOP Name","Measurement date and time","Operator Full Name","Result transform type","Particle absorption index","Particle refractive index","Dispersant name","Dispersant refractive index","Residual - weighted","Specific surface area","Uniformity","D [4, 3] - Volume weighted mean","D [3, 2] - Surface weighted mean ","Skewness","Mean","Median","Mode","Span(10,90)","Standard Deviation","Obscuration","Diameter d(0.5) low level","Diameter d(0.5) high level","d (0.1)","d (0.2)","d (0.5)","d (0.8)","d (0.9)","0.02μm-2μm","2μm-63μm","63μm-2000μm","Below 4μm","2μm-8μm","2μm-6.3μm","6.3μm-20μm","20μm-63μm","63μm-125μm","63μm-200μm","200μm-630μm","630μm-2000μm","250μm-500μm","500μm-1000μm","1000μm-2000μm"
"289","6_1_Z1_2 - Average","soil-sediments_1","Friday, 13 September 2024 11:13:16","ms2000","Volume","1","1.520","Water","1.330","0.480","0.901","2.15","165.169","6.660","40.954","165.169","68.863","350.306","6.568","189.181","11.12","0.020","2000.000","2.444","6.090","68.863","339.568","454.720","8.235","40.597","51.168","15.087","15.09","12.174","14.172","14.252","8.325","15.447","33.441","2.28","22.891","7.234","0"
"290","5_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 11:24:04","ms2000","Volume","1","1.520","Water","1.330","0.313","1.1","2.76","83.895","5.432","55.287","83.895","27.434","193.740","9.32","119.283","16.77","0.020","2000.000","2.050","4.377","27.434","151.061","257.723","9.741","54.372","35.887","18.617","20.256","16.193","19.101","19.077","12.407","21.171","14.568","0.148","9.271","1.278","0"
"291","5_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 11:25:02","ms2000","Volume","1","1.520","Water","1.330","0.315","1.12","2.87","83.557","5.351","54.993","83.557","26.309","188.340","9.727","121.199","16.70","0.020","2000.000","2.019","4.290","26.309","148.381","257.924","9.903","54.883","35.214","18.913","20.549","16.432","19.318","19.132","12.146","20.658","14.34","0.215","9.059","1.482","0"
"292","5_1_Z1_1","soil-sediments_1","Friday, 13 September 2024 11:26:01","ms2000","Volume","1","1.520","Water","1.330","0.328","1.13","2.9","82.762","5.316","54.781","82.762","25.826","197.236","9.861","119.798","16.66","0.020","2000.000","2.004","4.247","25.826","148.050","256.678","9.978","55.036","34.986","19.065","20.721","16.573","19.409","19.055","11.993","20.466","14.348","0.172","9.118","1.346","0"
"293","5_1_Z1_1 - Average","soil-sediments_1","Friday, 13 September 2024 11:24:04","ms2000","Volume","1","1.520","Water","1.330","0.319","1.12","2.84","83.404","5.366","55.02","83.404","26.513","193.186","9.634","120.097","16.71","0.020","2000.000","2.024","4.304","26.513","149.180","257.441","9.874","54.764","35.362","18.865","20.509","16.399","19.276","19.088","12.182","20.765","14.419","0.179","9.149","1.369","0"
"294","5_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 11:33:04","ms2000","Volume","1","1.520","Water","1.330","0.351","0.962","4.85","220.770","6.235","50.201","220.77","43.037","101.768","20.055","392.337","18.82","0.020","2000.000","2.354","5.324","43.037","268.362","865.464","8.47","47.77","43.76","16.104","17.47","13.953","16.57","17.247","12.067","19.901","10.101","13.757","5.358","7.645","7.815"
"295","5_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 11:34:02","ms2000","Volume","1","1.520","Water","1.330","0.360","1.06","3.82","132.542","5.677","53.955","132.542","32.272","90.638","10.922","254.801","18.74","0.020","2000.000","2.141","4.675","32.272","172.811","354.609","9.32","52.097","38.583","17.711","19.182","15.328","18.098","18.671","12.773","21.04","11.882","5.661","6.902","4.78","2.457"
"296","5_1_Z1_2","soil-sediments_1","Friday, 13 September 2024 11:35:01","ms2000","Volume","1","1.520","Water","1.330","0.334","1.12","2.76","81.608","5.337","56.976","81.608","26.61","88.501","8.811","125.532","18.68","0.020","2000.000","2.014","4.308","26.610","133.482","236.488","9.927","55.232","34.841","18.858","20.421","16.315","19.253","19.664","13.574","22.166","11.859","0.817","7.143","2.035","0"
"297","5_1_Z1_2 - Average","soil-sediments_1","Friday, 13 September 2024 11:33:04","ms2000","Volume","1","1.520","Water","1.330","0.348","1.05","4.09","144.973","5.726","53.711","144.973","33.113","92.749","11.703","285.496","18.75","0.020","2000.000","2.159","4.729","33.113","177.458","389.701","9.239","51.699","39.061","17.558","19.024","15.199","17.973","18.527","12.805","21.036","11.281","6.744","6.468","4.821","3.423"
"298","2_2_Z3_1","soil-sediments_1","Friday, 13 September 2024 11:42:58","ms2000","Volume","1","1.520","Water","1.330","0.330","0.903","1.69","119.353","6.645","50.697","119.353","61.623","229.177","5.092","131.401","13.38","0.020","2000.000","2.625","6.182","61.623","235.062","316.394","7.696","42.572","49.732","14.453","15.853","12.56","15.679","14.333","10.414","23.979","25.753","0","16.846","0.954","0"
