"Record number","Sample Name","SOP Name","Measurement date and time","Operator Full Name","Result transform type","Particle absorption index","Particle refractive index","Dispersant name","Dispersant refractive index","Residual - weighted","Specific surface area","Uniformity","D [4, 3] - Volume weighted mean","D [3, 2] - Surface weighted mean ","Skewness","Mean","Median","Mode","Span(10,90)","Standard Deviation","Obscuration","Diameter d(0.5) low level","Diameter d(0.5) high level","d (0.1)","d (0.2)","d (0.5)","d (0.8)","d (0.9)","0.02μm-2μm","2μm-63μm","63μm-2000μm","Below 4μm","2μm-8μm","2μm-6.3μm","6.3μm-20μm","20μm-63μm","63μm-125μm","63μm-200μm","200μm-630μm","630μm-2000μm","250μm-500μm","500μm-1000μm","1000μm-2000μm"
"24","6_1_Z2_3 - Average","soil-sediments_1","Thursday, 12 September 2024 12:00:30","ms2000","Volume","1","1.520","Water","1.330","0.459","1.07","2.82","124.493","5.592","46.779","124.493","40.442","321.728","9.4","163.707","17.69","0.020","2000.000","2.006","4.581","40.442","255.325","382.145","9.97","46.535","43.495","18.169","17.955","14.51","16.205","15.819","10.347","18.199","24.118","1.178","16.208","4.286","0"
"25","1_1_Z1_1","soil-sediments_1","Thursday, 12 September 2024 12:10:15","ms2000","Volume","1","1.520","Water","1.330","0.324","1.39","3.43","74.134","4.315","53.528","74.134","19.762","19.638","11.86","116.711","18.11","0.020","2000.000","1.503","3.342","19.762","126.852","235.876","13.217","56.407","30.376","22.638","20.607","16.595","20.409","19.404","10.148","17.727","12.376","0.273","7.745","1.355","0"
"26","1_1_Z1_1","soil-sediments_1","Thursday, 12 September 2024 12:11:13","ms2000","Volume","1","1.520","Water","1.330","0.338","1.32","4.29","104.485","4.532","50.287","104.485","22.725","19.301","14.032","181.583","18.07","0.020","2000.000","1.575","3.579","22.725","171.263","320.463","12.589","53.322","34.089","21.568","19.629","15.813","19.375","18.135","9.302","16.594","14.705","2.789","9.209","4.037","0.598"
"27","1_1_Z1_1","soil-sediments_1","Thursday, 12 September 2024 12:12:12","ms2000","Volume","1","1.520","Water","1.330","0.522","1.41","3.62","75.676","4.264","52.124","75.676","19.204","18.945","12.969","118.332","17.99","0.020","2000.000","1.483","3.278","19.204","131.543","250.550","13.4","56.381","30.219","22.957","20.88","16.825","20.522","19.034","9.481","16.623","13.479","0.117","8.802","1.233","0"
"28","1_1_Z1_1 - Average","soil-sediments_1","Thursday, 12 September 2024 12:10:15","ms2000","Volume","1","1.520","Water","1.330","0.395","1.37","3.82","84.765","4.368","51.98","84.765","20.468","19.285","12.943","142.806","18.06","0.020","2000.000","1.519","3.395","20.468","142.012","266.434","13.069","55.37","31.561","22.388","20.372","16.411","20.102","18.857","9.644","16.982","13.514","1.066","8.585","2.211","0.197"
"29","1_1_Z1_2","soil-sediments_1","Thursday, 12 September 2024 12:19:05","ms2000","Volume","1","1.520","Water","1.330","0.324","1.26","3.12","91.596","4.751","54.371","91.596","26.731","106.732","10.472","142.426","20.24","0.020","2000.000","1.654","3.881","26.731","151.494","281.567","11.967","52.604","35.429","20.403","18.354","14.803","18.274","19.526","12.055","20.122","14.061","1.246","8.75","3.022","0"
"30","1_1_Z1_2","soil-sediments_1","Thursday, 12 September 2024 12:20:03","ms2000","Volume","1","1.520","Water","1.330","0.334","1.3","3.14","85.159","4.617","54.579","85.159","24.732","103.455","10.539","132.431","20.14","0.020","2000.000","1.605","3.712","24.732","141.313","262.248","12.331","53.588","34.082","21.021","18.901","15.247","18.743","19.598","11.95","19.892","13.345","0.845","8.362","2.349","0"
"31","1_1_Z1_2","soil-sediments_1","Thursday, 12 September 2024 12:21:02","ms2000","Volume","1","1.520","Water","1.330","0.362","1.32","3.14","82.024","4.552","54.362","82.024","23.792","23.009","10.715","125.348","20.07","0.020","2000.000","1.582","3.629","23.792","138.989","256.528","12.518","53.98","33.503","21.349","19.198","15.491","18.969","19.52","11.686","19.58","13.478","0.445","8.545","1.849","0"
"32","1_1_Z1_2 - Average","soil-sediments_1","Thursday, 12 September 2024 12:19:05","ms2000","Volume","1","1.520","Water","1.330","0.340","1.29","3.14","86.260","4.639","54.437","86.26","25.048","105.890","10.575","133.645","20.15","0.020","2000.000","1.613","3.737","25.048","143.876","266.484","12.272","53.39","34.338","20.924","18.818","15.18","18.662","19.548","11.897","19.865","13.624","0.849","8.552","2.407","0"
"33","6_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 12:34:42","ms2000","Volume","1","1.520","Water","1.330","0.391","0.889","1.99","164.028","6.752","42.703","164.028","73.166","340.696","6.136","188.456","16.11","0.020","2000.000","2.489","6.355","73.166","331.062","451.416","8.122","39.593","52.285","14.758","14.566","11.777","13.027","14.788","9.813","17.676","32.079","2.53","21.709","7.22","0"
"34","6_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 12:35:40","ms2000","Volume","1","1.520","Water","1.330","0.421","0.898","2.03","164.718","6.682","42.328","164.718","72.019","346.879","6.29","189.908","16.04","0.020","2000.000","2.457","6.225","72.019","334.496","455.431","8.217","39.742","52.041","14.938","14.743","11.924","13.138","14.681","9.743","17.328","32.12","2.593","21.768","7.416","0"
"35","6_2_Z3_1","soil-sediments_1","Thursday, 12 September 2024 12:36:38","ms2000","Volume","1","1.520","Water","1.330","0.421","0.922","2.1","158.165","6.509","43.152","158.165","67.159","338.285","6.558","185.416","16.00","0.020","2000.000","2.386","5.947","67.159","321.552","442.845","8.442","40.581","50.977","15.35","15.148","12.254","13.469","14.858","9.853","17.719","30.932","2.326","20.894","6.8","0"
"36","6_2_Z3_1 - Average","soil-sediments_1","Thursday, 12 September 2024 12:34:42","ms2000","Volume","1","1.520","Water","1.330","0.411","0.903","2.04","162.304","6.646","42.728","162.304","70.728","342.023","6.327","187.959","16.05","0.020","2000.000","2.443","6.171","70.728","329.089","449.965","8.26","39.972","51.768","15.015","14.819","11.985","13.211","14.775","9.803","17.575","31.71","2.483","21.457","7.145","0"
"37","6_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 12:46:32","ms2000","Volume","1","1.520","Water","1.330","0.314","1.02","2.37","123.259","5.871","50.858","123.259","46.71","318.979","8.047","166.22","16.64","0.020","2000.000","2.144","5.088","46.710","235.400","378.015","9.345","46.246","44.408","16.933","16.7","13.485","15.096","17.666","13.19","21.312","21.303","1.793","14.016","4.775","0"
"38","6_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 12:47:30","ms2000","Volume","1","1.520","Water","1.330","0.342","1.02","2.46","130.616","5.902","49.165","130.616","47.946","334.521","8.313","174.464","16.58","0.020","2000.000","2.153","5.116","47.946","256.600","400.739","9.307","45.641","45.051","16.87","16.646","13.442","14.981","17.218","12.417","20.17","22.724","2.158","14.992","5.555","0"
"39","6_2_Z3_2","soil-sediments_1","Thursday, 12 September 2024 12:48:29","ms2000","Volume","1","1.520","Water","1.330","0.328","1.04","2.41","122.394","5.793","50.024","122.394","45.819","317.029","8.146","162.789","16.53","0.020","2000.000","2.110","4.965","45.819","239.019","375.355","9.489","46.253","44.258","17.207","16.969","13.709","15.233","17.311","12.667","20.741","22.03","1.487","14.599","4.456","0"
"40","6_2_Z3_2 - Average","soil-sediments_1","Thursday, 12 September 2024 12:46:32","ms2000","Volume","1","1.520","Water","1.330","0.328","1.02","2.41","125.423","5.855","50.016","125.423","46.819","323.868","8.172","167.937","16.58","0.020","2000.000","2.135","5.055","46.819","243.615","384.752","9.381","46.047","44.573","17.003","16.772","13.545","15.103","17.398","12.758","20.741","22.018","1.814","14.536","4.929","0"
"41","6_2_Z3_3","soil-sediments_1","Thursday, 12 September 2024 12:56:19","ms2000","Volume","1","1.520","Water","1.330","0.417","1.06","2.6","120.008","5.649","49.066","120.008","41.727","326.081","8.888","159.591","16.87","0.020","2000.000","2.056","4.811","41.727","243.549","372.932","9.736","47.525","42.739","17.579","17.303","13.955","15.788","17.783","11.512","18.844","22.861","1.035","15.466","3.967","0"
"42","6_2_Z3_3","soil-sediments_1","Thursday, 12 September 2024 12:57:18","ms2000","Volume","1","1.520","Water","1.330","0.410","1.08","2.76","120.255","5.541","48.58","120.255","39.655","333.847","9.495","162.564","16.78","0.020","2000.000","2.012","4.658","39.655","244.298","378.530","9.939","48.007","42.055","17.964","17.694","14.277","16.075","17.655","11.235","18.267","22.559","1.228","15.23","4.29","0"
"43","6_2_Z3_3","soil-sediments_1","Thursday, 12 September 2024 12:58:16","ms2000","Volume","1","1.520","Water","1.330","0.405","1.1","2.83","117.820","5.454","48.607","117.82","38.037","332.030","9.76","160.641","16.72","0.020","2000.000","1.978","4.544","38.037","238.879","373.220","10.107","48.48","41.412","18.272","17.992","14.519","16.297","17.664","11.161","18.119","22.153","1.14","14.977","4.094","0"
"44","6_2_Z3_3 - Average","soil-sediments_1","Thursday, 12 September 2024 12:56:19","ms2000","Volume","1","1.520","Water","1.330","0.411","1.08","2.73","119.361","5.547","48.751","119.361","39.798","330.563","9.369","160.94","16.79","0.020","2000.000","2.015","4.668","39.798","242.270","374.886","9.927","48.004","42.069","17.938","17.663","14.25","16.053","17.701","11.302","18.41","22.524","1.134","15.225","4.117","0"
"45","2_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 14:07:10","ms2000","Volume","1","1.520","Water","1.330","0.512","1.03","2.26","60.071","5.817","64.324","60.071","22.82","29.325","7.431","89.74","16.26","0.020","2000.000","2.386","5.193","22.820","93.004","171.965","8.399","64.095","27.507","16.069","19.305","14.878","23.756","25.461","12.635","19.534","7.973","0","4.954","0.398","0"
"46","2_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 14:08:08","ms2000","Volume","1","1.520","Water","1.330","0.531","1.05","2.2","56.388","5.710","64.733","56.388","21.925","28.350","7.216","83.247","16.18","0.020","2000.000","2.339","5.067","21.925","88.166","160.554","8.561","64.929","26.511","16.392","19.698","15.184","24.169","25.577","12.615","19.502","7.008","0","4.255","0.219","0"
"47","2_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 14:09:07","ms2000","Volume","1","1.520","Water","1.330","0.591","1.07","2.16","53.632","5.621","64.848","53.632","21.194","28.775","7.093","78.589","16.11","0.020","2000.000","2.298","4.961","21.194","83.542","152.623","8.708","65.787","25.505","16.679","20.047","15.453","24.512","25.822","12.469","19.108","6.398","0","3.869","0.093","0"
"48","2_1_Z3_1 - Average","soil-sediments_1","Thursday, 12 September 2024 14:07:10","ms2000","Volume","1","1.520","Water","1.330","0.544","1.05","2.21","56.697","5.715","64.635","56.697","21.965","28.856","7.247","84.025","16.18","0.020","2000.000","2.340","5.072","21.965","88.148","161.532","8.556","64.937","26.507","16.38","19.683","15.171","24.146","25.62","12.573","19.381","7.126","0","4.363","0.233","0"
"49","2_1_Z3_2","soil-sediments_1","Thursday, 12 September 2024 14:17:00","ms2000","Volume","1","1.520","Water","1.330","0.257","0.807","2.06","93.184","7.438","63.036","93.184","38.767","50.334","7.02","127.178","15.44","0.020","2000.000","3.172","7.346","38.767","158.212","275.327","6.44","54.846","38.714","12.291","14.813","11.398","18.523","24.925","14.337","23.003","15.269","0.442","9.751","1.933","0"
"50","2_1_Z3_2","soil-sediments_1","Thursday, 12 September 2024 14:17:59","ms2000","Volume","1","1.520","Water","1.330","0.272","0.816","2.12","93.419","7.351","62.936","93.419","37.928","50.435","7.238","130.37","15.38","0.020","2000.000","3.127","7.206","37.928","154.852","277.631","6.521","55.237","38.242","12.459","15.03","11.567","18.737","24.934","14.333","22.728","14.894","0.619","9.499","2.222","0"
"51","2_1_Z3_2","soil-sediments_1","Thursday, 12 September 2024 14:18:57","ms2000","Volume","1","1.520","Water","1.330","0.253","0.788","2.26","107.138","7.611","60.832","107.138","41.231","49.714","7.714","150.591","15.36","0.020","2000.000","3.248","7.566","41.231","182.586","321.320","6.298","53.09","40.612","12.035","14.505","11.168","18.053","23.87","13.772","22.247","16.913","1.452","10.748","3.616","0"
"52","2_1_Z3_2 - Average","soil-sediments_1","Thursday, 12 September 2024 14:17:00","ms2000","Volume","1","1.520","Water","1.330","0.261","0.804","2.15","97.913","7.465","62.268","97.913","39.26","50.177","7.331","136.597","15.39","0.020","2000.000","3.181","7.369","39.260","164.748","290.993","6.42","54.391","39.189","12.261","14.783","11.378","18.437","24.576","14.147","22.659","15.687","0.843","9.999","2.591","0"
"53","2_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 14:26:03","ms2000","Volume","1","1.520","Water","1.330","0.264","1.15","2.56","52.866","5.239","62.387","52.866","17.953","19.863","7.858","92.405","17.29","0.020","2000.000","2.135","4.529","17.953","70.236","143.220","9.364","68.746","21.89","17.981","21.697","16.717","26.551","25.478","10.268","15.338","6.315","0.237","3.802","0.871","0"
"54","2_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 14:27:01","ms2000","Volume","1","1.520","Water","1.330","0.247","1.14","3.03","61.301","5.242","61.235","61.301","17.969","18.951","8.505","121.458","17.21","0.020","2000.000","2.134","4.525","17.969","72.141","154.950","9.368","68.347","22.285","17.994","21.718","16.734","26.489","25.124","9.943","14.607","6.498","1.18","3.797","2.202","0.033"
"55","2_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 14:27:59","ms2000","Volume","1","1.520","Water","1.330","0.273","1.16","2.6","52.064","5.159","62.07","52.064","17.446","18.894","7.856","92.822","17.16","0.020","2000.000","2.098","4.439","17.446","67.973","139.153","9.53","69.161","21.309","18.29","22.045","16.99","26.823","25.348","10.054","14.954","6.086","0.269","3.641","0.936","0"
"56","2_1_Z3_3 - Average","soil-sediments_1","Thursday, 12 September 2024 14:26:03","ms2000","Volume","1","1.520","Water","1.330","0.261","1.15","2.73","55.410","5.213","61.897","55.41","17.787","19.238","8.054","103.214","17.22","0.020","2000.000","2.122","4.497","17.787","70.082","145.366","9.421","68.751","21.828","18.088","21.82","16.814","26.621","25.316","10.088","14.966","6.295","0.567","3.746","1.348","0"
"57","6_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 14:35:47","ms2000","Volume","1","1.520","Water","1.330","0.353","0.871","1.86","167.519","6.885","42.821","167.519","79.286","343.236","5.747","191.11","14.72","0.020","2000.000","2.513","6.513","79.286","334.692","458.134","8.041","38.347","53.611","14.62","14.267","11.584","12.473","14.29","10.462","18.741","32.063","2.808","21.563","7.621","0"
"58","6_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 14:36:46","ms2000","Volume","1","1.520","Water","1.330","0.407","0.838","2.06","213.130","7.161","40.526","213.13","92.207","344.160","6.189","274.276","14.69","0.020","2000.000","2.622","6.971","92.207","388.176","573.282","7.736","36.674","55.59","14.078","13.752","11.168","11.983","13.523","9.858","17.605","29.811","8.174","19.676","10.715","2.375"
"59","6_2_Z1_1","soil-sediments_1","Thursday, 12 September 2024 14:37:44","ms2000","Volume","1","1.520","Water","1.330","0.392","0.896","1.9","160.728","6.695","43.078","160.728","74.61","331.219","5.876","184.298","14.65","0.020","2000.000","2.432","6.179","74.610","322.174","440.860","8.285","39.093","52.621","15.07","14.697","11.939","12.764","14.39","10.265","18.682","31.664","2.276","21.395","6.674","0"
"60","6_2_Z1_1 - Average","soil-sediments_1","Thursday, 12 September 2024 14:35:47","ms2000","Volume","1","1.520","Water","1.330","0.384","0.869","1.96","180.449","6.908","42.142","180.449","81.507","339.061","5.896","221.542","14.69","0.020","2000.000","2.519","6.538","81.507","345.835","483.101","8.021","38.038","53.941","14.589","14.239","11.564","12.407","14.068","10.195","18.343","31.181","4.417","20.878","8.334","0.794"
"61","6_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 14:47:47","ms2000","Volume","1","1.520","Water","1.330","0.313","1.17","3.32","122.717","5.142","45.798","122.717","34.268","294.246","11.021","170.736","17.62","0.020","2000.000","1.838","4.060","34.268","242.442","379.514","10.896","47.064","42.039","19.786","19.278","15.662","16.58","14.822","9.868","18.012","22.031","1.997","14.411","4.913","0"
"62","6_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 14:48:45","ms2000","Volume","1","1.520","Water","1.330","0.355","1.19","3.34","115.485","5.048","45.993","115.485","32.038","301.347","11.243","158.333","17.58","0.020","2000.000","1.804","3.950","32.038","233.663","362.021","11.11","47.764","41.126","20.185","19.673","15.986","16.844","14.934","9.86","17.902","22.142","1.082","14.716","3.794","0"
"63","6_2_Z1_2","soil-sediments_1","Thursday, 12 September 2024 14:49:43","ms2000","Volume","1","1.520","Water","1.330","0.333","1.17","3.45","126.124","5.108","44.434","126.124","34.001","321.946","11.551","173.309","17.54","0.020","2000.000","1.823","4.015","34.001","256.827","394.562","10.985","46.877","42.138","19.946","19.41","15.776","16.591","14.511","9.396","16.967","23.232","1.939","15.38","5.218","0"
"64","6_2_Z1_2 - Average","soil-sediments_1","Thursday, 12 September 2024 14:47:47","ms2000","Volume","1","1.520","Water","1.330","0.334","1.18","3.37","121.442","5.099","45.408","121.442","33.414","305.786","11.276","167.645","17.58","0.020","2000.000","1.822","4.008","33.414","244.148","378.603","10.997","47.235","41.768","19.972","19.453","15.808","16.671","14.756","9.708","17.627","22.467","1.674","14.836","4.642","0"
"65","6_2_Z1_3","soil-sediments_1","Thursday, 12 September 2024 14:58:44","ms2000","Volume","1","1.520","Water","1.330","0.545","0.688","1.2","169.423","8.719","46.125","169.423","113.174","303.572","3.698","169.908","14.19","0.020","2000.000","3.396","10.817","113.174","318.307","421.917","6.221","32.826","60.953","11.331","11.144","9.031","9.889","13.905","12.935","24.443","35.214","1.296","23.75","5.328","0"
"66","6_2_Z1_3","soil-sediments_1","Thursday, 12 September 2024 14:59:42","ms2000","Volume","1","1.520","Water","1.330","0.575","0.692","1.19","170.949","8.666","45.508","170.949","115.245","305.319","3.658","170.972","14.13","0.020","2000.000","3.362","10.623","115.245","321.363","424.888","6.266","32.673","61.061","11.423","11.236","9.107","9.939","13.626","12.655","24.071","35.662","1.328","24.074","5.453","0"
"67","6_2_Z1_3","soil-sediments_1","Thursday, 12 September 2024 15:00:40","ms2000","Volume","1","1.520","Water","1.330","0.571","0.699","1.19","171.503","8.588","45.195","171.503","115.82","305.904","3.655","171.914","14.08","0.020","2000.000","3.317","10.382","115.820","322.556","426.609","6.336","32.73","60.934","11.545","11.348","9.199","10.008","13.522","12.419","23.813","35.724","1.398","24.102","5.563","0"
"68","6_2_Z1_3 - Average","soil-sediments_1","Thursday, 12 September 2024 14:58:44","ms2000","Volume","1","1.520","Water","1.330","0.564","0.693","1.2","170.625","8.657","45.609","170.625","114.727","304.930","3.671","170.936","14.13","0.020","2000.000","3.358","10.605","114.727","320.746","424.484","6.274","32.743","60.983","11.433","11.242","9.113","9.946","13.685","12.67","24.109","35.533","1.34","23.976","5.448","0"
"69","3_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 15:09:20","ms2000","Volume","1","1.520","Water","1.330","0.593","1.48","2.98","53.425","4.064","56.577","53.425","16.027","27.193","9.182","96.338","14.02","0.020","2000.000","1.535","3.354","16.027","67.123","148.697","12.846","66.066","21.087","22.911","23.035","18.381","23.53","24.155","9.433","13.546","7.458","0.083","4.969","0.827","0"
"70","3_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 15:10:18","ms2000","Volume","1","1.520","Water","1.330","0.644","1.48","3.1","55.133","4.055","55.988","55.133","15.954","26.318","9.638","100.037","13.96","0.020","2000.000","1.531","3.340","15.954","68.335","155.288","12.882","65.744","21.374","22.987","23.11","18.448","23.496","23.801","9.389","13.354","7.931","0.089","5.395","0.933","0"
"71","3_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 15:11:16","ms2000","Volume","1","1.520","Water","1.330","0.646","1.49","3.05","53.514","4.029","56.1","53.514","15.726","25.980","9.566","96.237","13.92","0.020","2000.000","1.520","3.311","15.726","67.559","151.946","12.973","65.863","21.165","23.15","23.269","18.578","23.587","23.698","9.286","13.506","7.595","0.063","5.071","0.783","0"
"72","3_2_Z2_1 - Average","soil-sediments_1","Thursday, 12 September 2024 15:09:20","ms2000","Volume","1","1.520","Water","1.330","0.628","1.48","3.05","54.024","4.049","56.222","54.024","15.902","26.496","9.456","97.556","13.97","0.020","2000.000","1.528","3.335","15.902","67.668","151.898","12.901","65.891","21.209","23.016","23.138","18.469","23.537","23.884","9.369","13.469","7.661","0.078","5.145","0.848","0"
"73","3_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 15:19:30","ms2000","Volume","1","1.520","Water","1.330","0.323","1.58","2.38","42.488","3.800","59.323","42.488","15.569","29.622","6.589","77.392","18.48","0.020","2000.000","1.399","3.155","15.569","56.320","103.991","13.818","68.378","17.803","23.791","22.618","18.071","23.765","26.542","9.862","13.563","4.131","0.109","2.472","0.575","0"
"74","3_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 15:20:28","ms2000","Volume","1","1.520","Water","1.330","0.311","1.56","2.93","52.146","3.839","57.85","52.146","15.919","29.283","7.439","107.696","18.42","0.020","2000.000","1.413","3.194","15.919","59.835","119.831","13.685","67.271","19.044","23.574","22.435","17.926","23.468","25.877","9.463","13.014","5.2","0.83","3.057","1.805","0"
"75","3_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 15:21:27","ms2000","Volume","1","1.520","Water","1.330","0.344","1.59","2.51","43.913","3.781","58.594","43.913","15.369","28.773","6.927","81.217","18.37","0.020","2000.000","1.391","3.129","15.369","56.801","107.852","13.898","68.068","18.033","23.95","22.788","18.211","23.805","26.052","9.624","13.313","4.621","0.1","2.826","0.65","0"
"76","3_2_Z2_2 - Average","soil-sediments_1","Thursday, 12 September 2024 15:19:30","ms2000","Volume","1","1.520","Water","1.330","0.326","1.58","2.61","46.182","3.806","58.589","46.182","15.617","29.228","6.956","89.886","18.42","0.020","2000.000","1.401","3.159","15.617","57.603","110.030","13.801","67.906","18.294","23.771","22.614","18.069","23.679","26.157","9.65","13.297","4.657","0.34","2.786","1.009","0"
"77","6_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 15:29:32","ms2000","Volume","1","1.520","Water","1.330","0.368","0.88","1.91","155.904","6.816","46.775","155.904","71.583","338.296","6.087","183.485","19.63","0.020","2000.000","2.466","6.798","71.583","309.806","438.159","8.258","39.561","52.182","14.516","13.503","10.931","12.773","15.857","11.754","20.717","29.028","2.436","19.303","6.721","0"
"78","6_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 15:30:30","ms2000","Volume","1","1.520","Water","1.330","0.360","0.877","2.01","169.487","6.845","45.661","169.487","74.35","353.663","6.448","205.447","19.55","0.020","2000.000","2.474","6.826","74.350","332.158","481.857","8.231","39.054","52.715","14.481","13.479","10.916","12.7","15.438","11.368","20.086","28.294","4.336","18.402","9.026","0.08"
"79","6_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 15:31:29","ms2000","Volume","1","1.520","Water","1.330","0.379","0.89","2.03","164.806","6.744","45.755","164.806","71.771","360.713","6.527","198.428","19.50","0.020","2000.000","2.430","6.632","71.771","327.423","470.848","8.363","39.488","52.149","14.708","13.686","11.082","12.866","15.54","11.382","19.954","28.489","3.707","18.627","8.505","0"
"80","6_1_Z3_1 - Average","soil-sediments_1","Thursday, 12 September 2024 15:29:32","ms2000","Volume","1","1.520","Water","1.330","0.369","0.882","1.99","163.399","6.801","46.064","163.399","72.542","349.492","6.348","196.081","19.56","0.020","2000.000","2.456","6.751","72.542","322.703","462.972","8.284","39.367","52.349","14.568","13.556","10.976","12.78","15.612","11.501","20.252","28.606","3.491","18.777","8.089","0.022"
"81","6_1_Z3_2","soil-sediments_1","Thursday, 12 September 2024 15:39:11","ms2000","Volume","1","1.520","Water","1.330","0.403","1.39","2.63","54.010","4.312","58.605","54.01","18.253","70.059","8.055","85.089","13.68","0.020","2000.000","1.521","3.223","18.253","85.622","148.549","13.28","60.238","26.481","23.372","21.858","17.67","20.69","21.878","13.739","20.225","6.208","0.048","3.717","0.461","0"
"82","6_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 15:46:42","ms2000","Volume","1","1.520","Water","1.330","0.455","1.16","3.03","126.204","5.178","44.059","126.204","38.426","301.094","9.788","161.754","20.10","0.020","2000.000","1.801","4.168","38.426","262.509","377.915","11.086","44.75","44.165","19.452","18.025","14.607","16.346","13.797","8.852","17.334","25.928","0.903","17.443","3.873","0"
"83","6_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 15:47:40","ms2000","Volume","1","1.520","Water","1.330","0.432","1.16","3.15","129.693","5.157","43.587","129.694","38.092","306.373","10.205","168.164","20.03","0.020","2000.000","1.793","4.138","38.092","268.095","390.529","11.136","44.626","44.238","19.549","18.114","14.683","16.391","13.551","8.721","17.075","25.798","1.365","17.209","4.617","0"
"84","6_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 15:48:39","ms2000","Volume","1","1.520","Water","1.330","0.462","1.15","3.02","133.860","5.234","42.512","133.86","40.988","310.683","9.634","169.5","19.98","0.020","2000.000","1.820","4.226","40.988","279.038","396.703","10.973","43.853","45.174","19.274","17.88","14.493","16.121","13.239","8.286","16.539","27.36","1.274","18.406","4.664","0"
"85","6_1_Z3_3 - Average","soil-sediments_1","Thursday, 12 September 2024 15:46:42","ms2000","Volume","1","1.520","Water","1.330","0.450","1.16","3.07","129.919","5.189","43.386","129.919","39.129","306.033","9.88","166.536","20.04","0.020","2000.000","1.804","4.177","39.129","269.926","388.406","11.065","44.41","44.525","19.425","18.006","14.594","16.286","13.529","8.62","16.982","26.362","1.181","17.686","4.385","0"
"86","6_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 15:56:54","ms2000","Volume","1","1.520","Water","1.330","0.498","0.835","1.8","176.724","7.186","40.884","176.724","85.974","353.090","5.454","194.87","15.85","0.020","2000.000","2.670","7.011","85.974","353.972","471.558","7.595","37.765","54.641","13.928","13.86","11.225","12.256","14.284","9.568","16.98","34.756","2.906","23.692","8.247","0"
"87","6_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 15:57:53","ms2000","Volume","1","1.520","Water","1.330","0.518","0.882","1.93","160.205","6.806","42.573","160.205","73.148","337.295","5.93","180.657","15.79","0.020","2000.000","2.510","6.348","73.148","325.645","436.316","8.032","39.648","52.32","14.733","14.668","11.879","12.949","14.82","9.801","17.592","33.027","1.7","22.678","6.16","0"
"88","6_2_Z2_1","soil-sediments_1","Thursday, 12 September 2024 15:58:51","ms2000","Volume","1","1.520","Water","1.330","0.594","0.869","1.91","165.930","6.904","41.493","165.93","76.569","348.877","5.815","184.566","15.80","0.020","2000.000","2.550","6.504","76.569","338.449","447.829","7.914","39.075","53.01","14.526","14.467","11.719","12.758","14.598","9.625","16.885","34.299","1.827","23.704","6.697","0"
"89","6_2_Z2_1 - Average","soil-sediments_1","Thursday, 12 September 2024 15:56:54","ms2000","Volume","1","1.520","Water","1.330","0.537","0.862","1.88","167.620","6.962","41.65","167.62","78.274","346.379","5.74","186.919","15.81","0.020","2000.000","2.575","6.609","78.274","339.314","451.886","7.847","38.829","53.324","14.396","14.332","11.608","12.654","14.567","9.665","17.152","34.029","2.143","23.358","7.034","0"
"90","6_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 16:05:57","ms2000","Volume","1","1.520","Water","1.330","0.492","0.809","1.85","172.197","7.421","42.312","172.197","81.111","355.991","5.661","189.915","12.12","0.020","2000.000","2.786","7.360","81.111","348.315","461.981","7.286","38.404","54.31","13.47","13.626","11.012","12.157","15.234","10.494","17.534","34.356","2.419","23.656","7.61","0"
"91","6_2_Z2_2","soil-sediments_1","Thursday, 12 September 2024 16:06:56","ms2000","Volume","1","1.520","Water","1.330","0.471","0.795","1.79","181.935","7.545","41.17","181.935","88.362","366.688","5.45","199.353","12.08","0.020","2000.000","2.834","7.581","88.362","364.737","484.374","7.175","37.391","55.434","13.263","13.403","10.835","11.908","14.648","10.139","17.182","34.978","3.274","23.806","9.015","0"
